iter	Passed	Remaining
0	58	58379
1	58	29327
2	59	19616
3	59	14756
4	59	11838
5	59	9898
6	59	8510
7	60	7469
8	60	6660
9	60	6012
10	60	5482
11	61	5045
12	61	4670
13	61	4350
14	62	4072
15	62	3830
16	62	3616
17	62	3426
18	63	3254
19	63	3100
20	63	2960
21	63	2835
22	64	2722
23	64	2615
24	64	2519
25	64	2432
26	65	2349
27	65	2271
28	65	2198
29	65	2132
30	66	2069
31	66	2011
32	66	1955
33	66	1903
34	67	1853
35	67	1807
36	67	1763
37	68	1721
38	68	1684
39	68	1646
40	68	1610
41	69	1575
42	69	1543
43	69	1511
44	69	1482
45	70	1453
46	70	1425
47	70	1399
48	70	1374
49	71	1350
50	71	1327
51	71	1305
52	71	1283
53	72	1262
54	72	1242
55	72	1223
56	72	1204
57	73	1186
58	73	1168
59	73	1152
60	73	1136
61	74	1121
62	74	1105
63	74	1091
64	74	1077
65	75	1063
66	75	1050
67	75	1037
68	75	1025
69	76	1012
70	76	1001
71	76	990
72	77	979
73	77	967
74	77	957
75	77	947
76	78	937
77	78	927
78	78	917
79	78	908
80	79	899
81	79	890
82	79	879
83	80	872
84	80	864
85	80	857
86	80	850
87	81	842
88	81	835
89	81	828
90	82	821
91	82	813
92	82	806
93	82	799
94	83	792
95	83	786
96	83	780
97	84	773
98	84	767
99	84	761
100	84	755
101	85	749
102	85	743
103	85	737
104	85	731
105	86	726
106	86	721
107	86	716
108	86	711
109	87	705
110	87	701
111	87	696
112	88	692
113	88	687
114	88	682
115	88	678
116	89	672
117	89	668
118	89	663
119	89	659
120	90	654
121	90	650
122	90	646
123	90	642
124	91	637
125	91	633
126	91	629
127	91	624
128	91	621
129	92	617
130	92	613
131	92	610
132	92	606
133	93	602
134	93	598
135	93	595
136	93	591
137	94	588
138	94	584
139	94	581
140	94	578
141	95	574
142	95	571
143	95	568
144	95	565
145	96	563
146	96	560
147	96	557
148	97	555
149	97	552
150	97	549
151	97	546
152	98	544
153	98	541
154	98	538
155	99	536
156	99	533
157	99	531
158	100	528
159	100	526
160	100	523
161	100	520
162	100	517
163	101	515
164	101	513
165	101	510
166	101	508
167	102	506
168	102	503
169	102	501
170	102	498
171	103	496
172	103	494
173	103	492
174	104	490
175	104	488
176	104	486
177	104	484
178	105	482
179	105	480
180	105	478
181	105	476
182	106	474
183	106	472
184	106	470
185	107	468
186	107	466
187	107	464
188	107	462
189	108	460
190	108	458
191	108	457
192	108	455
193	109	453
194	109	451
195	109	450
196	110	448
197	110	447
198	110	445
199	110	443
200	111	442
201	111	440
202	111	438
203	111	437
204	112	435
205	112	433
206	112	432
207	113	430
208	113	429
209	113	427
210	113	425
211	114	424
212	114	422
213	114	421
214	115	419
215	115	418
216	115	417
217	115	415
218	116	414
219	116	412
220	116	410
221	116	409
222	117	408
223	117	406
224	117	405
225	117	403
226	118	402
227	118	401
228	118	399
229	118	398
230	119	396
231	119	395
232	119	394
233	120	392
234	120	391
235	120	390
236	120	388
237	120	387
238	121	386
239	121	384
240	121	383
241	122	382
242	122	381
243	122	380
244	122	378
245	123	377
246	123	376
247	123	375
248	123	373
249	124	372
250	124	371
251	124	370
252	125	369
253	125	368
254	125	367
255	125	365
256	126	364
257	126	363
258	126	362
259	126	361
260	127	360
261	127	359
262	127	358
263	128	356
264	128	355
265	128	354
266	128	353
267	129	352
268	129	351
269	129	350
270	129	349
271	130	348
272	130	347
273	130	346
274	130	345
275	131	344
276	131	343
277	131	342
278	132	341
279	132	340
280	132	339
281	132	338
282	133	337
283	133	336
284	133	335
285	133	334
286	134	333
287	134	332
288	134	331
289	134	330
290	135	329
291	135	328
292	135	327
293	136	326
294	136	325
295	136	324
296	136	323
297	137	322
298	137	322
299	137	321
300	137	320
301	138	319
302	138	318
303	138	317
304	138	316
305	139	315
306	139	315
307	139	314
308	140	313
309	140	312
310	140	311
311	140	310
312	141	309
313	141	309
314	141	308
315	142	307
316	142	306
317	142	305
318	142	305
319	143	304
320	143	303
321	143	302
322	143	301
323	144	301
324	144	300
325	144	299
326	145	298
327	145	297
328	145	296
329	145	296
330	146	295
331	146	294
332	146	293
333	146	292
334	147	292
335	147	291
336	147	290
337	148	289
338	148	289
339	148	288
340	148	287
341	149	286
342	149	286
343	149	285
344	149	284
345	150	283
346	150	283
347	150	282
348	150	281
349	151	280
350	151	280
351	151	279
352	152	278
353	152	278
354	152	277
355	152	276
356	153	275
357	153	275
358	153	274
359	154	273
360	154	273
361	154	272
362	154	271
363	155	271
364	155	270
365	155	269
366	155	268
367	156	268
368	156	267
369	156	266
370	156	266
371	157	265
372	157	264
373	157	264
374	158	263
375	158	262
376	158	262
